id,population,name,dosesAdministered,peopleVaccinated,completedVaccination,completedOneDoseVaccination,cdcDosesDistributed
AL,4903185.0,Alabama,3485659,2034814,1659775,120328.0,4935470.0
AK,731545.0,Alaska,688769,371062,329591,25519.0,846475.0
AZ,7278717.0,Arizona,6976583,3784173,3249256,242031.0,8336240.0
AR,3017804.0,Arkansas,2344406,1338218,1072166,80202.0,2907570.0
CA,39512223.0,California,44290970,25090033,20515635,1612681.0,50119245.0
CO,5758736.0,Colorado,6377405,3419068,3091502,225780.0,7148345.0
CT,3565287.0,Connecticut,4526780,2450458,2228046,181128.0,4828735.0
DE,973764.0,Delaware,1072059,581025,505534,45602.0,1308375.0
DC,705749.0,District of Columbia,890228,444846,381538,32046.0,1080745.0
FL,21477737.0,Florida,21955490,11998594,10296106,1063254.0,25520275.0
GA,10617423.0,Georgia,8747755,4783420,4037136,228747.0,11424395.0
HI,1415872.0,Hawaii,1704642,1001635,751350,38863.0,1965190.0
ID,1787065.0,Idaho,1355401,723165,660935,53685.0,1722590.0
IL,12671821.0,Illinois,13407167,7756666,6062121,474889.0,14995565.0
IN,6732219.0,Indiana,5971607,3119985,2937655,218502.0,6852890.0
IA,3155070.0,Iowa,3102564,1655254,1550562,128065.0,3531705.0
KS,2913314.0,Kansas,2558805,1472340,1257436,86329.0,3152285.0
KY,4467673.0,Kentucky,4114659,2272573,2006737,167828.0,4574545.0
LA,4648794.0,Louisiana,3510623,1865051,1686717,125200.0,4156170.0
ME,1344212.0,Maine,1648394,908748,846150,105943.0,1887110.0
MD,6045680.0,Maryland,7096476,3847427,3508410,264589.0,8649860.0
MA,6892503.0,Massachusetts,9040501,4949453,4360913,301017.0,9889500.0
MI,9986857.0,Michigan,9684635,5242166,4831862,340919.0,11801690.0
MN,5639632.0,Minnesota,6006009,3274036,3001001,268612.0,6632450.0
MS,2976149.0,Mississippi,2085335,1133444,1010312,61016.0,2727505.0
MO,6137428.0,Missouri,5314903,2886658,2479180,180208.0,6342495.0
MT,1068778.0,Montana,960755,520336,469177,38549.0,1125905.0
NE,1934408.0,Nebraska,1911202,1023123,946484,70627.0,2127790.0
NV,3080156.0,Nevada,2895012,1604601,1341798,129484.0,3197650.0
NH,1359711.0,New Hampshire,1576441,870225,786136,60833.0,1878910.0
NJ,8882190.0,New Jersey,10178925,5749784,5087461,391824.0,11851695.0
NM,2096829.0,New Mexico,2447126,1350317,1181421,84097.0,2413065.0
NY,19453561.0,New York,22557594,12043340,10933428,938682.0,24564545.0
NC,10488084.0,North Carolina,9551675,5251172,4526546,350342.0,11912410.0
ND,762062.0,North Dakota,654258,340682,302419,26439.0,727560.0
OH,11689100.0,Ohio,10939162,5745648,5372833,428344.0,12606175.0
OK,3956971.0,Oklahoma,3377157,1836978,1568444,99311.0,4081300.0
OR,4217737.0,Oregon,4686883,2528095,2334523,178384.0,5722645.0
PA,12801989.0,Pennsylvania,14329614,8254308,6591615,561367.0,15996185.0
RI,1059361.0,Rhode Island,1310650,700241,642602,47816.0,1540135.0
SC,5148714.0,South Carolina,4322933,2348436,2060032,151233.0,5415675.0
SD,884659.0,South Dakota,836792,456917,410129,27141.0,979745.0
TN,6829174.0,Tennessee,5630436,2977038,2632151,169474.0,6518010.0
TX,28995881.0,Texas,26744604,14513117,12484818,1040113.0,32549095.0
UT,3205958.0,Utah,2939399,1632494,1409255,130250.0,3305040.0
VT,623989.0,Vermont,866740,467892,418480,38844.0,937450.0
VA,8535519.0,Virginia,9525279,5178149,4586432,338460.0,10610095.0
WA,7614893.0,Washington,8874648,4799938,4326006,366173.0,9584495.0
WV,1792147.0,West Virginia,1482221,820747,696438,38761.0,1928465.0
WI,5822434.0,Wisconsin,6074585,3191442,2981776,235891.0,6259285.0
WY,578759.0,Wyoming,440081,236489,209232,17258.0,521255.0
